epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,18515.7,1.05679,1.8683,1.7643,1.03007,0.77844,0.63529,0.70121,0.52836,0.78381,0.60395,0.67339,0.43977,0.88183,1.61691,1.37079,0.96768,0.00183459,0.00183459,0.00183459
30,19140.8,1.04875,1.8542,1.76355,1.02835,0.77452,0.63889,0.7042,0.5319,0.77956,0.61282,0.67745,0.44275,0.87672,1.61031,1.3592,0.96463,0.00182294,0.00182294,0.00182294
31,19766,1.04893,1.85031,1.74597,1.02655,0.78065,0.63871,0.70682,0.53486,0.76846,0.61746,0.67711,0.44313,0.87487,1.60692,1.35655,0.96312,0.00181093,0.00181093,0.00181093
32,20397.1,1.04074,1.84079,1.72623,1.02492,0.7964,0.6355,0.71004,0.53623,0.77447,0.62097,0.67905,0.44526,0.87509,1.60416,1.34984,0.96268,0.00179856,0.00179856,0.00179856
33,21022.7,1.04101,1.83926,1.72439,1.02556,0.79448,0.63858,0.71032,0.53737,0.77557,0.62527,0.67975,0.44616,0.8722,1.60027,1.34557,0.96157,0.00178586,0.00178586,0.00178586
34,21644.7,1.03714,1.84017,1.71617,1.02401,0.79576,0.64342,0.71247,0.53875,0.77156,0.62872,0.6804,0.44707,0.87138,1.59681,1.3406,0.96084,0.00177281,0.00177281,0.00177281
35,22269,1.03349,1.82715,1.70331,1.02045,0.79447,0.64745,0.71364,0.54008,0.7702,0.63104,0.68062,0.44757,0.86899,1.59275,1.33213,0.9595,0.00175943,0.00175943,0.00175943
36,22895.4,1.02983,1.82367,1.69368,1.01845,0.79244,0.64838,0.71511,0.5421,0.76778,0.63198,0.6814,0.44945,0.86752,1.58881,1.32777,0.95849,0.00174571,0.00174571,0.00174571
37,23521.5,1.02733,1.81597,1.68505,1.01563,0.79694,0.64807,0.71746,0.54481,0.77463,0.63261,0.6836,0.45115,0.86463,1.58488,1.32369,0.95671,0.00173168,0.00173168,0.00173168
38,24156.3,1.02838,1.81845,1.67225,1.01532,0.8063,0.64426,0.7188,0.54673,0.78588,0.62767,0.6859,0.45242,0.86356,1.58311,1.32165,0.95626,0.00171733,0.00171733,0.00171733
