epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,6925.14,0.56923,1.24215,1.26447,1.00547,0.91673,0.86974,0.92784,0.8123,0.91298,0.86787,0.92238,0.723,0.50436,1.01768,0.93892,0.95159,0.00183459,0.00183459,0.00183459
30,7146.55,0.56963,1.24099,1.25357,1.00659,0.91104,0.86491,0.93108,0.81706,0.90869,0.86531,0.92705,0.72588,0.5034,1.01525,0.93027,0.94835,0.00182294,0.00182294,0.00182294
31,7368.34,0.56418,1.22528,1.23746,1.00187,0.90408,0.88447,0.9281,0.81465,0.90575,0.8786,0.92722,0.72497,0.51277,1.01586,0.91158,0.95221,0.00181093,0.00181093,0.00181093
32,7590.5,0.5601,1.21104,1.2363,0.99884,0.9233,0.86397,0.92999,0.8168,0.92475,0.86058,0.92648,0.72452,0.50617,1.01377,0.9084,0.95071,0.00179856,0.00179856,0.00179856
33,7812.17,0.56352,1.22866,1.23431,0.99982,0.92077,0.88013,0.93505,0.82266,0.91845,0.87822,0.92892,0.72976,0.50312,1.00986,0.88426,0.94598,0.00178586,0.00178586,0.00178586
34,8033.72,0.56002,1.23343,1.2392,1.00017,0.91669,0.87152,0.9312,0.81719,0.91482,0.87007,0.92479,0.72589,0.50129,1.00702,0.89416,0.94849,0.00177281,0.00177281,0.00177281
35,8254.7,0.55502,1.2106,1.20295,0.99382,0.91999,0.87313,0.9337,0.819,0.91726,0.87146,0.92712,0.72717,0.50072,1.00496,0.91014,0.94829,0.00175943,0.00175943,0.00175943
36,8485.1,0.55897,1.21855,1.20452,0.99588,0.91792,0.87724,0.93416,0.82122,0.91645,0.87735,0.9329,0.7313,0.50068,1.00899,0.88755,0.95015,0.00174571,0.00174571,0.00174571
37,8726.03,0.55722,1.2149,1.21133,0.99247,0.90884,0.87862,0.9349,0.81942,0.90466,0.87881,0.93048,0.72686,0.4945,1.00741,0.89175,0.941,0.00173168,0.00173168,0.00173168
38,8947.65,0.54914,1.17978,1.17004,0.99061,0.90483,0.876,0.93245,0.81923,0.9049,0.8726,0.92738,0.73127,0.49408,0.99692,0.88763,0.94623,0.00171733,0.00171733,0.00171733
39,9170.22,0.55089,1.20092,1.181,0.99469,0.92408,0.87219,0.93039,0.81786,0.91827,0.86997,0.92312,0.72605,0.49417,1.01055,0.90327,0.94474,0.00170267,0.00170267,0.00170267
40,9392.41,0.54806,1.19149,1.1965,0.99025,0.91305,0.87565,0.92852,0.81848,0.90229,0.88623,0.92691,0.72975,0.49656,0.99732,0.89009,0.946,0.0016877,0.0016877,0.0016877
41,9615.23,0.54287,1.19415,1.15861,0.98746,0.91865,0.87359,0.92859,0.82004,0.92047,0.87261,0.92729,0.73194,0.4987,0.98999,0.87751,0.94777,0.00167244,0.00167244,0.00167244
42,9837.02,0.54725,1.19329,1.16726,0.99063,0.91079,0.87466,0.92763,0.8193,0.92625,0.85743,0.92176,0.72946,0.49286,1.00027,0.8941,0.94474,0.00165689,0.00165689,0.00165689
43,10058.8,0.54999,1.1834,1.1623,0.99228,0.92231,0.87566,0.93329,0.82276,0.92056,0.872,0.9283,0.72992,0.49496,1.00414,0.8677,0.94199,0.00164105,0.00164105,0.00164105
44,10280.6,0.54725,1.18074,1.16622,0.98999,0.8877,0.89521,0.92864,0.81577,0.91332,0.87431,0.92565,0.72664,0.4961,1.00203,0.88224,0.94774,0.00162494,0.00162494,0.00162494
45,10507.9,0.53957,1.1689,1.14244,0.98845,0.91539,0.88503,0.93404,0.82233,0.91902,0.88412,0.93097,0.73234,0.48938,0.98894,0.85603,0.94223,0.00160855,0.00160855,0.00160855
46,10730.5,0.5398,1.16875,1.12779,0.98563,0.92349,0.87651,0.93183,0.82109,0.91536,0.88244,0.93128,0.73201,0.48806,0.99816,0.8645,0.94098,0.00159191,0.00159191,0.00159191
47,10954.3,0.53866,1.16789,1.15064,0.98406,0.91289,0.88353,0.93468,0.82605,0.91244,0.88158,0.93167,0.73443,0.48956,1.00061,0.86278,0.94094,0.00157501,0.00157501,0.00157501
48,11177.2,0.53585,1.17862,1.13713,0.98694,0.91191,0.88702,0.93727,0.82689,0.91624,0.88036,0.93484,0.73734,0.48497,0.99251,0.85102,0.93694,0.00155786,0.00155786,0.00155786
49,11407.9,0.53562,1.15999,1.13217,0.98271,0.92438,0.87496,0.93539,0.82631,0.9226,0.87539,0.93201,0.73578,0.48233,0.98262,0.85388,0.93776,0.00154047,0.00154047,0.00154047
50,11629.4,0.53063,1.15403,1.1063,0.98294,0.8961,0.88571,0.9328,0.82396,0.90084,0.88927,0.93149,0.73343,0.48243,0.98912,0.865,0.93857,0.00152285,0.00152285,0.00152285
51,11851.4,0.53475,1.16006,1.1105,0.98655,0.92172,0.86704,0.93414,0.82745,0.9244,0.87193,0.93307,0.73931,0.48479,0.98437,0.85287,0.93697,0.001505,0.001505,0.001505
52,12074.5,0.52769,1.14371,1.08856,0.97947,0.91412,0.87677,0.93375,0.82698,0.91725,0.87957,0.93183,0.73449,0.48236,0.98299,0.85234,0.93988,0.00148694,0.00148694,0.00148694
53,12298.3,0.53356,1.15789,1.11651,0.98116,0.91586,0.87539,0.93167,0.82871,0.92086,0.87903,0.93087,0.73437,0.48023,0.9855,0.85665,0.93473,0.00146866,0.00146866,0.00146866
54,12587.9,0.52338,1.1497,1.08387,0.97622,0.91401,0.87526,0.93028,0.82914,0.91838,0.87971,0.93161,0.73765,0.47257,0.97753,0.85241,0.92711,0.00145019,0.00145019,0.00145019
55,12815.3,0.52726,1.14637,1.08733,0.97821,0.92066,0.87684,0.935,0.82917,0.91243,0.89059,0.93726,0.7405,0.47474,0.97607,0.8421,0.93211,0.00143152,0.00143152,0.00143152
56,13047.1,0.52526,1.1356,1.09653,0.97918,0.91587,0.88185,0.93543,0.83187,0.92043,0.88329,0.93745,0.74027,0.4767,0.98422,0.8369,0.9341,0.00141267,0.00141267,0.00141267
57,13270.3,0.51701,1.12788,1.06673,0.97424,0.92104,0.87606,0.93561,0.83454,0.92356,0.87802,0.9369,0.7399,0.47449,0.98121,0.83375,0.93109,0.00139364,0.00139364,0.00139364
58,13500.4,0.51882,1.12383,1.07097,0.9731,0.92507,0.88138,0.93601,0.83248,0.92157,0.88548,0.93431,0.7414,0.47169,0.97702,0.84242,0.93067,0.00137444,0.00137444,0.00137444
59,13726.6,0.51581,1.1243,1.06078,0.97567,0.91817,0.88576,0.93348,0.83027,0.92008,0.88889,0.93499,0.74112,0.47473,0.97825,0.84514,0.93375,0.00135509,0.00135509,0.00135509
60,13949.3,0.51497,1.12584,1.06302,0.97229,0.92054,0.87526,0.93442,0.83004,0.92801,0.87191,0.93415,0.74129,0.47579,0.97789,0.8564,0.93192,0.00133558,0.00133558,0.00133558
61,14172.5,0.51148,1.11701,1.04061,0.96956,0.92793,0.86475,0.93238,0.83013,0.93425,0.86909,0.93793,0.73868,0.47765,0.97914,0.85341,0.93534,0.00131593,0.00131593,0.00131593
62,14398.9,0.51392,1.12128,1.0429,0.97065,0.91874,0.87243,0.93297,0.82737,0.92154,0.8741,0.93155,0.73943,0.47529,0.97757,0.85566,0.93379,0.00129614,0.00129614,0.00129614
63,14621.3,0.51916,1.12908,1.0552,0.97478,0.92346,0.87058,0.93224,0.82848,0.92413,0.87046,0.93377,0.74046,0.47871,0.98307,0.8572,0.93513,0.00127623,0.00127623,0.00127623
64,14846,0.51409,1.11276,1.02303,0.97069,0.90779,0.88488,0.93164,0.83169,0.90841,0.88915,0.93434,0.74333,0.4732,0.98089,0.84523,0.92909,0.0012562,0.0012562,0.0012562
65,15094.9,0.5101,1.10903,1.04178,0.9694,0.92259,0.87286,0.93244,0.83073,0.92421,0.87854,0.93536,0.74403,0.47289,0.98107,0.84444,0.92833,0.00123607,0.00123607,0.00123607
66,15329,0.51062,1.11529,1.02721,0.96753,0.93622,0.86269,0.93187,0.83014,0.9397,0.86726,0.93218,0.74106,0.4724,0.97608,0.84148,0.92818,0.00121583,0.00121583,0.00121583
67,15569,0.50477,1.11241,1.03023,0.9677,0.91119,0.88869,0.93425,0.83303,0.92002,0.88556,0.93554,0.74128,0.4711,0.9741,0.84078,0.92891,0.00119551,0.00119551,0.00119551
68,15794.4,0.50982,1.11913,1.0331,0.96861,0.92871,0.8722,0.93481,0.83252,0.93702,0.879,0.93921,0.73988,0.4714,0.9844,0.83555,0.92978,0.0011751,0.0011751,0.0011751
69,16018,0.50515,1.11054,1.00473,0.96748,0.9163,0.88159,0.93353,0.83218,0.93211,0.87917,0.93891,0.7418,0.47083,0.97533,0.82564,0.92865,0.00115462,0.00115462,0.00115462
70,16241.5,0.50895,1.10194,1.0082,0.96676,0.92432,0.87453,0.9336,0.83097,0.92992,0.87901,0.9359,0.74189,0.47147,0.97337,0.82791,0.93026,0.00113408,0.00113408,0.00113408
71,16465.3,0.50515,1.10069,1.01836,0.9649,0.9166,0.87705,0.93328,0.8296,0.92034,0.88017,0.93479,0.74277,0.47303,0.97325,0.82533,0.93226,0.00111348,0.00111348,0.00111348
72,16700.1,0.50145,1.10798,0.99785,0.96007,0.91316,0.8823,0.93303,0.83137,0.91588,0.8849,0.93375,0.74453,0.4703,0.96952,0.82571,0.93111,0.00109284,0.00109284,0.00109284
73,16944.3,0.50548,1.09849,0.99305,0.96536,0.91556,0.87915,0.9333,0.83195,0.91979,0.88186,0.93258,0.7452,0.47119,0.96465,0.83355,0.93096,0.00107216,0.00107216,0.00107216
74,17169.8,0.49595,1.08241,0.9894,0.96267,0.90985,0.88177,0.93142,0.83071,0.91422,0.88559,0.93047,0.74313,0.4706,0.96701,0.83004,0.93127,0.00105146,0.00105146,0.00105146
75,17393.1,0.49127,1.06675,0.97052,0.96172,0.91757,0.87394,0.93288,0.83065,0.9229,0.87969,0.9348,0.74314,0.47017,0.97062,0.83233,0.93286,0.00103073,0.00103073,0.00103073
76,17619.6,0.49807,1.08688,0.98264,0.96256,0.91405,0.88202,0.93242,0.83087,0.91888,0.88517,0.93406,0.74078,0.47038,0.9738,0.83193,0.93043,0.00101,0.00101,0.00101
77,17844.4,0.49737,1.09121,0.97569,0.96255,0.91802,0.87993,0.93247,0.83008,0.92151,0.88324,0.93574,0.7401,0.47168,0.9763,0.83174,0.93251,0.000989267,0.000989267,0.000989267
78,18068.3,0.49524,1.08878,0.9813,0.96054,0.89863,0.89706,0.93327,0.83324,0.92159,0.87784,0.93631,0.74193,0.47022,0.97543,0.83064,0.93176,0.000968543,0.000968543,0.000968543
79,18294.4,0.49003,1.06913,0.96357,0.95652,0.91513,0.88937,0.93431,0.83448,0.91468,0.89765,0.93703,0.7413,0.46929,0.97643,0.8283,0.93122,0.000947837,0.000947837,0.000947837
80,18520.2,0.49622,1.09333,0.97355,0.96155,0.92313,0.88769,0.9363,0.83671,0.92948,0.8919,0.9394,0.74487,0.46658,0.97131,0.83033,0.92906,0.000927159,0.000927159,0.000927159
81,18746.2,0.49135,1.07912,0.96797,0.95697,0.90734,0.89601,0.9355,0.83621,0.91373,0.89879,0.9375,0.74511,0.46499,0.97021,0.82955,0.92667,0.000906517,0.000906517,0.000906517
82,18975.6,0.48965,1.07437,0.95242,0.95911,0.92035,0.88207,0.93213,0.83507,0.92654,0.88698,0.93756,0.74406,0.4647,0.97114,0.83103,0.92659,0.00088592,0.00088592,0.00088592
83,19200.7,0.48666,1.05965,0.94363,0.9562,0.90144,0.89328,0.93193,0.83334,0.90588,0.89779,0.93612,0.74286,0.46241,0.97211,0.82799,0.92468,0.000865378,0.000865378,0.000865378
84,19432.4,0.48307,1.05902,0.93229,0.95562,0.92406,0.87546,0.93345,0.83298,0.92736,0.87776,0.93567,0.74286,0.46196,0.97129,0.82647,0.92591,0.000844899,0.000844899,0.000844899
85,19658.2,0.48748,1.07953,0.94776,0.95808,0.91859,0.87866,0.93281,0.83258,0.92029,0.88307,0.93569,0.74464,0.46374,0.97316,0.82457,0.9269,0.000824492,0.000824492,0.000824492
86,19885.6,0.48091,1.05366,0.9277,0.95183,0.91608,0.88021,0.93259,0.83324,0.92009,0.88324,0.93585,0.745,0.46689,0.97541,0.82418,0.93043,0.000804167,0.000804167,0.000804167
87,20110.5,0.48257,1.06429,0.93262,0.95447,0.9097,0.88578,0.93366,0.83375,0.9127,0.88916,0.93631,0.74617,0.46734,0.97631,0.82157,0.93001,0.000783933,0.000783933,0.000783933
88,20336,0.48646,1.06671,0.93833,0.95741,0.90778,0.8844,0.93433,0.835,0.91164,0.88782,0.93685,0.74638,0.46817,0.97753,0.81893,0.93169,0.000763797,0.000763797,0.000763797
89,20568.2,0.483,1.05636,0.92739,0.95549,0.92046,0.88111,0.936,0.83598,0.92377,0.8835,0.93659,0.7465,0.46842,0.97558,0.81654,0.93104,0.000743769,0.000743769,0.000743769
90,20795.2,0.47763,1.04374,0.91135,0.95099,0.92371,0.87754,0.93596,0.83687,0.92816,0.88149,0.93667,0.74717,0.46691,0.97497,0.81963,0.92999,0.000723859,0.000723859,0.000723859
91,21027.9,0.48274,1.05085,0.9163,0.95219,0.92657,0.87402,0.93632,0.83757,0.92609,0.88008,0.93735,0.74596,0.46431,0.97255,0.82199,0.92789,0.000704073,0.000704073,0.000704073
92,21255.4,0.48105,1.05254,0.90574,0.95311,0.92107,0.87705,0.93676,0.83803,0.9243,0.88146,0.93806,0.74632,0.46189,0.97154,0.8181,0.92653,0.000684422,0.000684422,0.000684422
